brand,os,price,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm,gpu_per_cpu
Google,Android,959.07,2020,6850,8793,88.68,Metal,5,1,5.2,WiFi 5,Tensor G3,12,128,6.1,AMOLED,120,4657,25,200,16,Wide,175.2,8.29,0.7790287728875241
Samsung,Android,771.31,2018,6100,7275,88.02,Metal,2,2,5.2,WiFi 6,A17 Bionic,16,64,5.77,LCD,120,3817,65,50,8,"Telephoto, Wide",175.6,7.41,0.8384879725085911
Google,Android,1019.83,2022,6862,9390,83.33,Glass,4,2,5.0,WiFi 6E,Snapdragon 8 Gen 2,16,128,6.1,LCD,90,5069,25,200,32,"Wide, Ultra-Wide",184.0,8.89,0.7307774227902023
Realme,Android,360.98,2021,3770,3980,76.62,Metal,2,1,5.3,WiFi 6,Dimensity 900,12,64,6.28,AMOLED,60,4323,45,50,8,Other,173.6,7.67,0.9472361809045227
OnePlus,Android,422.53,2022,3459,4546,76.68,Glass,5,2,5.1,WiFi 6,Exynos 1380,12,256,6.45,AMOLED,60,6497,25,50,16,Other,197.9,9.41,0.7608886933567972
Google,Android,580.88,2025,4494,5667,94.06,Plastic,2,2,5.3,WiFi 6E,Exynos 1380,12,128,5.85,AMOLED,144,5728,33,64,50,Other,189.4,9.16,0.7930121757543674
Vivo,Android,329.36,2021,1675,4069,88.44,Metal,2,2,5.3,WiFi 6,Snapdragon 778G,8,64,6.23,OLED,120,5866,25,64,16,Other,211.1,9.17,0.4116490538215778
OnePlus,Android,469.09,2019,4565,4485,83.71,Plastic,4,2,5.0,WiFi 6E,Exynos 1380,6,128,5.95,AMOLED,60,4365,18,64,32,Other,187.7,8.02,1.0178372352285396
Samsung,Android,1172.7,2021,8799,10714,81.73,Glass,6,2,5.0,WiFi 6,Tensor G3,12,128,6.2,OLED,120,4838,33,200,50,Ultra-Wide,191.2,9.03,0.8212619003173418
Sony,Android,549.0,2025,4255,5051,94.01,Metal,3,1,5.3,WiFi 5,Snapdragon 778G,6,512,6.08,LCD,120,5437,65,108,32,Other,186.0,7.26,0.8424074440704811
OnePlus,Android,695.71,2022,4315,7018,89.16,Metal,6,2,5.1,WiFi 6,Tensor G3,16,128,6.49,OLED,120,5072,65,108,8,Other,191.7,8.77,0.6148475349102308
OnePlus,Android,526.76,2023,5022,4505,80.55,Glass,3,2,5.0,WiFi 5,Dimensity 900,8,512,5.52,OLED,60,5055,100,108,50,Wide,209.7,7.42,1.1147613762486126
Vivo,Android,149.1,2020,687,921,79.14,Plastic,2,2,5.0,WiFi 6E,Helio G85,6,128,6.03,OLED,120,4908,33,13,16,Other,214.8,8.34,0.745928338762215
Samsung,Android,469.8,2023,2741,4981,79.18,Metal,4,1,4.2,WiFi 6E,Exynos 1380,12,256,6.37,AMOLED,60,5846,25,108,16,"Depth, Macro",154.8,8.28,0.5502911062035736
Apple,iOS,1280.77,2025,9412,10786,87.37,Metal,7,2,5.0,WiFi 5,Snapdragon 8 Gen 2,8,128,6.25,AMOLED,144,3387,25,200,8,Other,173.6,8.28,0.8726126460226219
Samsung,Android,460.13,2020,2731,4570,77.04,Glass,7,1,5.2,WiFi 6,Dimensity 900,12,128,5.67,OLED,90,5844,33,108,16,"Wide, Telephoto",203.1,8.47,0.5975929978118162
Realme,Android,266.79,2023,1289,2601,88.69,Plastic,6,1,4.2,WiFi 5,Snapdragon 680,4,512,6.28,AMOLED,60,4469,25,50,50,Ultra-Wide,201.4,8.53,0.4955786236063053
Realme,Android,257.34,2020,2365,2446,87.48,Metal,7,2,5.1,WiFi 6E,Dimensity 6020,3,256,6.66,LCD,60,5593,25,48,50,"Telephoto, Wide",194.9,8.78,0.9668847097301717
Vivo,Android,248.49,2020,1649,1589,80.76,Metal,5,2,5.3,WiFi 6,Dimensity 6020,3,128,6.65,LCD,120,4784,65,13,50,Other,170.4,8.8,1.0377595972309628
OnePlus,Android,851.22,2019,6251,8090,86.55,Glass,6,2,4.2,WiFi 5,Snapdragon 8 Gen 2,12,256,5.97,AMOLED,90,3733,45,50,16,"Depth, Ultra-Wide",218.3,8.0,0.7726823238566131
Google,Android,476.91,2021,2852,4056,87.88,Plastic,5,2,5.0,WiFi 6E,Exynos 1380,12,128,6.06,AMOLED,120,4641,45,64,16,"Telephoto, Depth",147.5,8.79,0.703155818540434
Samsung,Android,678.61,2021,5438,5618,83.19,Glass,2,2,5.3,WiFi 6E,Tensor G3,16,512,6.82,AMOLED,120,4517,45,50,32,Wide,184.9,9.19,0.9679601281594874
Apple,iOS,1402.53,2020,10649,11887,75.94,Glass,4,1,5.1,WiFi 5,A17 Bionic,16,256,6.24,OLED,120,3455,33,108,16,Depth,176.4,9.25,0.8958526120972491
Oppo,Android,216.76,2018,1072,2484,86.8,Metal,6,2,5.1,WiFi 6E,Snapdragon 680,4,128,5.88,AMOLED,60,5188,100,50,16,"Wide, Depth",194.7,7.86,0.43156199677938806
Google,Android,806.97,2020,5379,8228,86.21,Plastic,3,1,5.3,WiFi 6E,A17 Bionic,8,512,5.56,OLED,144,5217,100,50,32,"Macro, Ultra-Wide",164.5,9.31,0.6537433155080213
Oppo,Android,361.64,2025,2546,2968,80.74,Glass,7,1,4.2,WiFi 5,Snapdragon 778G,8,128,6.89,LCD,60,5512,18,50,8,"Ultra-Wide, Depth",186.6,8.2,0.8578167115902965
Motorola,Android,284.63,2018,2811,2994,75.7,Glass,6,2,5.1,WiFi 5,Dimensity 900,12,128,6.22,LCD,60,4501,65,50,16,Other,178.9,9.21,0.938877755511022
Vivo,Android,199.09,2020,1988,2621,90.05,Metal,6,1,5.3,WiFi 6,Dimensity 6020,4,64,6.46,LCD,120,2215,33,48,50,"Ultra-Wide, Wide",172.6,7.67,0.7584891262876765
Oppo,Android,450.92,2023,3914,5065,82.67,Plastic,4,1,5.1,WiFi 6E,Snapdragon 778G,12,64,5.53,AMOLED,120,4051,65,64,50,Other,182.0,7.17,0.7727541954590326
Xiaomi,Android,112.86,2021,1126,1275,90.22,Metal,6,2,5.2,WiFi 5,Snapdragon 680,4,256,6.85,LCD,120,3522,25,48,8,"Wide, Depth",178.7,9.17,0.8831372549019608
Apple,iOS,1174.51,2018,9269,10992,76.65,Plastic,5,2,5.0,WiFi 6,A17 Bionic,8,64,5.6,AMOLED,120,3024,45,50,50,Other,205.2,8.87,0.8432496360989811
Xiaomi,Android,206.94,2022,3025,1880,89.38,Glass,6,2,4.2,WiFi 6E,Helio G85,4,128,6.18,AMOLED,90,6081,33,50,16,Wide,199.3,7.15,1.6090425531914894
Vivo,Android,421.05,2022,3301,3778,84.85,Glass,7,2,5.3,WiFi 6E,Exynos 1380,8,128,6.32,LCD,60,6207,65,64,32,"Depth, Macro",222.8,7.9,0.8737427210164108
Realme,Android,117.0,2020,1664,2244,75.68,Glass,3,1,5.3,WiFi 6,Snapdragon 680,3,64,6.74,AMOLED,60,6560,18,13,8,Macro,178.2,7.42,0.7415329768270945
Apple,iOS,1354.41,2019,10198,12493,93.37,Plastic,4,1,5.3,WiFi 5,Tensor G3,8,64,6.82,OLED,90,3679,18,200,16,"Ultra-Wide, Macro",173.8,8.65,0.8162971263907788
Apple,iOS,834.66,2022,5629,7935,87.85,Glass,7,1,5.1,WiFi 5,Snapdragon 8 Gen 2,12,128,6.76,OLED,120,3404,25,50,32,Other,209.0,8.52,0.7093887838689351
Realme,Android,132.8,2025,495,1708,83.27,Plastic,7,1,5.2,WiFi 6,Helio G85,6,256,6.84,LCD,60,4797,100,50,16,Telephoto,197.8,7.42,0.2898126463700234
Sony,Android,480.41,2021,3898,4684,79.33,Plastic,7,2,5.3,WiFi 6E,Dimensity 900,12,256,6.74,LCD,60,3877,65,64,8,"Wide, Telephoto",225.0,8.83,0.832194705380017
Xiaomi,Android,125.91,2025,1055,395,92.6,Glass,4,2,5.2,WiFi 5,Helio G85,4,256,6.47,OLED,60,5242,33,50,50,Ultra-Wide,179.3,9.24,2.670886075949367
Samsung,Android,619.85,2025,4688,5701,90.64,Glass,6,2,5.2,WiFi 5,Snapdragon 778G,6,128,5.64,AMOLED,120,6051,65,50,50,Other,165.7,7.05,0.8223118751096299
Motorola,Android,343.23,2019,3791,3048,90.3,Plastic,5,1,5.1,WiFi 5,Dimensity 900,8,128,6.2,LCD,90,6180,33,64,50,"Macro, Depth",211.7,9.05,1.2437664041994752
Apple,iOS,1309.68,2021,9983,12802,81.13,Glass,3,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,12,128,6.01,AMOLED,120,3331,33,200,50,"Depth, Macro",178.0,8.08,0.779800031245118
Motorola,Android,236.44,2021,2334,1643,83.75,Plastic,2,2,5.0,WiFi 6,Snapdragon 680,6,128,6.67,AMOLED,60,3889,45,13,16,Wide,174.8,9.16,1.4205721241631162
Oppo,Android,67.06,2023,803,1280,82.64,Glass,4,1,5.2,WiFi 6,Snapdragon 680,3,128,5.56,LCD,120,4358,25,50,32,Other,216.0,7.89,0.62734375
Apple,iOS,1164.5,2018,9101,10446,84.21,Glass,7,1,5.2,WiFi 6E,Snapdragon 8 Gen 2,16,64,5.66,OLED,60,3758,25,108,50,Telephoto,147.4,7.49,0.8712425808922075
Xiaomi,Android,299.83,2021,2615,3086,87.3,Glass,2,2,5.3,WiFi 5,Exynos 1380,6,128,6.33,AMOLED,60,6449,65,50,32,Depth,202.5,8.4,0.8473752430330524
Realme,Android,230.05,2022,2518,2925,75.46,Metal,2,1,5.1,WiFi 6,Dimensity 6020,3,128,6.51,OLED,90,3865,45,13,16,"Wide, Ultra-Wide",154.8,8.99,0.8608547008547008
Apple,iOS,1421.79,2021,9653,13336,93.81,Glass,4,2,5.0,WiFi 6E,Tensor G3,16,256,5.92,AMOLED,120,3101,45,200,32,"Ultra-Wide, Depth",189.7,8.47,0.7238302339532093
OnePlus,Android,375.61,2025,2924,3544,86.2,Metal,6,2,5.0,WiFi 6,Dimensity 900,6,64,5.56,LCD,60,5709,100,108,8,Other,176.1,7.16,0.8250564334085779
Vivo,Android,113.5,2023,695,1169,82.12,Metal,4,1,4.2,WiFi 6E,Dimensity 6020,6,128,6.87,LCD,90,6150,33,48,16,Other,194.2,8.07,0.5945252352437981
Oppo,Android,396.9,2024,2792,3497,78.68,Plastic,5,2,5.1,WiFi 5,Dimensity 900,12,128,6.62,LCD,90,4349,33,64,50,"Telephoto, Wide",185.9,7.78,0.79839862739491
OnePlus,Android,820.55,2020,6391,7227,91.52,Glass,2,1,5.1,WiFi 6,Snapdragon 8 Gen 2,8,128,6.24,OLED,144,5155,18,108,16,Macro,182.9,8.9,0.8843226788432268
Motorola,Android,299.12,2023,2566,3737,77.22,Glass,7,2,5.2,WiFi 5,Snapdragon 778G,8,128,5.51,AMOLED,60,5694,25,108,32,Other,182.4,8.02,0.6866470430826866
Xiaomi,Android,210.79,2025,1785,2414,86.86,Plastic,6,2,4.2,WiFi 6,Snapdragon 680,4,256,6.87,AMOLED,90,5455,45,48,8,Ultra-Wide,234.7,7.66,0.7394366197183099
OnePlus,Android,816.72,2024,6111,8459,87.68,Glass,7,1,5.0,WiFi 5,Snapdragon 8 Gen 2,8,64,6.84,LCD,120,4103,25,50,32,"Ultra-Wide, Depth",187.8,8.97,0.7224258186546874
Xiaomi,Android,247.27,2022,1644,1978,82.89,Metal,5,2,5.3,WiFi 5,Dimensity 6020,3,64,5.51,LCD,60,4752,65,13,32,Telephoto,175.0,7.69,0.8311425682507584
Xiaomi,Android,381.09,2023,2269,3606,75.23,Glass,5,1,5.1,WiFi 5,Snapdragon 778G,12,128,6.55,LCD,60,5409,45,64,32,"Telephoto, Depth",186.6,7.03,0.6292290626733222
Apple,iOS,1169.59,2021,8288,11005,91.94,Glass,5,2,5.2,WiFi 6,Tensor G3,16,128,6.31,OLED,60,3418,25,50,32,Depth,188.5,9.23,0.7531122217174012
Xiaomi,Android,263.29,2018,2291,2208,82.12,Glass,6,1,5.0,WiFi 5,Dimensity 6020,4,64,6.18,LCD,120,3876,33,48,8,Wide,160.9,8.52,1.037590579710145
Realme,Android,124.83,2021,1119,1148,84.67,Glass,3,2,5.1,WiFi 5,Dimensity 6020,6,128,6.37,LCD,60,4975,33,50,8,"Telephoto, Depth",178.6,7.88,0.9747386759581882
Xiaomi,Android,347.84,2024,2107,2552,91.09,Metal,7,1,5.1,WiFi 6E,Snapdragon 778G,12,128,6.89,LCD,60,3892,25,64,32,Ultra-Wide,209.3,9.43,0.825626959247649
Apple,iOS,1182.14,2024,9027,10848,83.03,Metal,7,2,5.1,WiFi 6,Tensor G3,12,128,6.07,LCD,120,3532,100,50,32,"Telephoto, Wide",187.3,7.75,0.8321349557522124
Xiaomi,Android,336.4,2021,2079,3698,77.04,Plastic,4,1,4.2,WiFi 6E,Exynos 1380,8,64,6.5,OLED,120,5848,18,64,32,"Depth, Telephoto",245.2,7.33,0.5621957815035155
Google,Android,826.99,2025,6783,7547,92.01,Plastic,2,2,5.1,WiFi 6,Snapdragon 8 Gen 2,8,256,6.43,OLED,120,5070,25,200,50,Other,193.9,7.26,0.8987677222737511
Oppo,Android,279.23,2023,2072,2471,94.27,Glass,7,1,5.2,WiFi 6E,Snapdragon 778G,8,128,5.62,LCD,90,5411,33,50,16,"Telephoto, Ultra-Wide",201.8,9.28,0.8385269121813032
Oppo,Android,414.66,2019,3360,3890,76.51,Plastic,2,1,5.0,WiFi 6E,Snapdragon 778G,8,128,6.27,OLED,90,6009,45,64,50,Other,193.6,8.78,0.8637532133676092
OnePlus,Android,820.7,2023,5407,7515,76.0,Plastic,2,2,5.1,WiFi 5,Snapdragon 8 Gen 2,12,64,6.16,OLED,120,4128,100,200,50,"Depth, Macro",186.9,8.7,0.7194943446440453
Motorola,Android,133.07,2025,1145,1767,91.71,Plastic,5,2,5.2,WiFi 6,Dimensity 6020,3,128,5.6,AMOLED,144,5438,100,48,32,"Macro, Ultra-Wide",178.4,9.44,0.6479909451046972
Vivo,Android,415.14,2019,2891,4212,94.01,Plastic,4,2,5.1,WiFi 5,Snapdragon 778G,6,128,6.05,AMOLED,144,5080,25,50,50,"Ultra-Wide, Telephoto",201.8,8.04,0.686372269705603
Realme,Android,223.65,2020,2012,805,76.09,Glass,7,1,5.3,WiFi 6E,Dimensity 6020,3,128,5.55,AMOLED,60,5541,33,50,8,Other,182.7,8.93,2.4993788819875777
Oppo,Android,270.76,2018,2747,2679,89.17,Metal,5,1,4.2,WiFi 6E,Dimensity 900,8,128,6.76,OLED,144,4521,33,108,32,Other,218.4,7.05,1.0253826054497948
Apple,iOS,1314.55,2021,9042,12073,89.1,Metal,7,1,4.2,WiFi 5,Snapdragon 8 Gen 2,8,64,6.43,AMOLED,90,3721,33,200,16,Macro,212.8,8.97,0.7489439244595378
Realme,Android,280.88,2023,2016,2343,93.89,Plastic,5,2,5.1,WiFi 6,Dimensity 900,12,256,5.85,AMOLED,90,5055,25,50,50,Other,177.2,7.84,0.8604353393085787
Realme,Android,252.01,2020,2474,2855,87.2,Plastic,4,2,5.1,WiFi 6,Snapdragon 680,3,128,5.87,LCD,90,4262,45,48,32,Ultra-Wide,169.9,7.19,0.8665499124343258
Apple,iOS,1163.79,2020,8824,10729,89.77,Metal,2,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,8,256,5.76,OLED,144,3240,45,200,32,Other,187.2,8.28,0.8224438437878646
Oppo,Android,395.97,2020,2677,4120,83.88,Plastic,6,2,5.3,WiFi 6E,Snapdragon 778G,8,256,6.1,LCD,120,5682,100,50,50,Other,182.2,8.03,0.6497572815533981
Vivo,Android,224.05,2024,1433,2604,85.43,Plastic,3,1,4.2,WiFi 6E,Snapdragon 680,6,256,6.12,OLED,60,4916,33,13,32,Depth,205.6,9.18,0.5503072196620584
Samsung,Android,387.54,2024,3157,3795,88.58,Metal,3,1,5.3,WiFi 6,Snapdragon 778G,8,64,6.26,LCD,90,5458,18,108,8,"Depth, Macro",197.0,7.78,0.8318840579710145
Apple,iOS,1313.68,2021,9928,11339,85.21,Metal,3,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,8,128,6.75,AMOLED,120,3410,65,50,32,"Depth, Telephoto",189.0,8.57,0.8755622188905547
Google,Android,352.67,2020,2262,3327,90.33,Glass,3,1,5.3,WiFi 6,Exynos 1380,6,512,5.82,OLED,60,4399,45,108,50,"Depth, Wide",188.1,8.81,0.6798917944093779
Xiaomi,Android,312.19,2020,2905,2699,88.19,Plastic,7,2,4.2,WiFi 6E,Dimensity 900,12,128,6.42,OLED,90,4173,33,108,50,"Wide, Ultra-Wide",198.0,7.78,1.0763245646535753
Realme,Android,227.69,2025,1814,1930,91.25,Plastic,7,2,5.1,WiFi 6E,Dimensity 6020,6,256,6.58,AMOLED,60,4848,25,13,32,"Wide, Ultra-Wide",160.3,7.1,0.9398963730569948
Google,Android,1028.66,2020,7636,9260,88.5,Metal,7,2,5.1,WiFi 5,A17 Bionic,16,128,6.71,OLED,120,6415,25,200,16,"Depth, Telephoto",180.2,8.55,0.824622030237581
OnePlus,Android,547.33,2022,3677,5026,87.14,Metal,7,2,5.1,WiFi 6E,Dimensity 900,8,128,6.67,LCD,60,5418,45,64,32,Other,216.6,9.38,0.7315957023477915
Sony,Android,305.0,2021,2243,3082,80.57,Metal,7,2,5.3,WiFi 6,Snapdragon 778G,12,128,6.69,LCD,60,5274,100,64,16,Wide,196.2,7.53,0.727774172615185
Realme,Android,234.26,2022,2668,2476,88.16,Plastic,4,2,5.0,WiFi 6E,Snapdragon 680,3,128,6.65,LCD,90,6391,33,50,16,"Wide, Telephoto",183.6,8.35,1.0775444264943457
Apple,iOS,1063.41,2025,7587,9572,92.48,Metal,7,2,5.3,WiFi 5,Snapdragon 8 Gen 2,16,64,6.3,AMOLED,90,3317,65,108,50,"Depth, Telephoto",179.2,7.93,0.7926243209360635
Oppo,Android,176.51,2019,2083,1556,77.47,Glass,2,1,5.2,WiFi 5,Helio G85,3,128,6.79,AMOLED,90,5691,65,50,32,Other,220.4,7.94,1.338688946015424
Vivo,Android,125.33,2025,1538,2019,88.07,Glass,5,2,5.3,WiFi 6E,Dimensity 6020,4,256,5.68,AMOLED,60,5548,100,48,16,Telephoto,227.0,9.07,0.7617632491332342
Motorola,Android,444.17,2019,3594,4489,76.11,Metal,4,2,4.2,WiFi 5,Dimensity 900,8,256,5.62,OLED,90,3889,18,108,16,"Macro, Telephoto",185.7,9.28,0.800623746936957
Vivo,Android,232.61,2020,1363,2998,86.21,Plastic,4,1,5.3,WiFi 6,Dimensity 6020,6,128,6.66,LCD,120,3543,33,48,16,Other,195.4,8.46,0.4546364242828552
Apple,iOS,979.65,2018,7881,8871,81.56,Glass,6,1,4.2,WiFi 6,Tensor G3,8,256,6.88,AMOLED,144,2927,18,200,16,"Ultra-Wide, Macro",172.8,8.53,0.8884004058167061
Samsung,Android,894.66,2020,6883,8937,82.47,Metal,3,1,5.1,WiFi 5,Snapdragon 8 Gen 2,12,64,6.17,AMOLED,90,5128,33,50,32,"Depth, Telephoto",191.1,7.29,0.7701689605012868
Sony,Android,495.31,2019,3694,5405,83.68,Metal,3,2,4.2,WiFi 5,Dimensity 900,8,256,6.84,LCD,120,6096,33,64,16,Other,218.6,8.07,0.6834412580943571
Realme,Android,291.91,2022,2503,3154,88.81,Glass,2,1,5.1,WiFi 6,Snapdragon 778G,8,512,6.06,AMOLED,60,6319,45,108,8,Macro,211.4,8.56,0.7935954343690552
Samsung,Android,653.78,2024,4153,6522,80.59,Glass,3,1,5.3,WiFi 5,Dimensity 900,8,128,5.51,LCD,90,6251,18,64,50,Telephoto,198.2,8.03,0.6367678626188286
Samsung,Android,489.38,2018,3882,5601,76.64,Plastic,5,2,5.3,WiFi 6,Snapdragon 778G,12,128,6.45,LCD,60,6254,18,64,50,Other,172.8,9.24,0.6930905195500804
Xiaomi,Android,401.36,2019,2766,4188,88.53,Plastic,7,2,4.2,WiFi 6,Exynos 1380,12,128,5.89,LCD,60,5444,25,50,50,Macro,238.6,8.63,0.660458452722063
