brand,os,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm
Xiaomi,Android,2021,1524,4031,89.73,Metal,6,1,5.3,WiFi 6,Exynos 1380,6,64,5.71,AMOLED,90,5953,33,108,50,"Wide, Telephoto",185.0,8.99
Realme,Android,2022,2946,2745,87.6,Plastic,7,1,5.0,WiFi 6,Snapdragon 778G,6,128,6.0,AMOLED,60,5063,33,50,16,Other,194.5,7.52
Motorola,Android,2023,2530,2979,88.8,Plastic,3,2,5.1,WiFi 6E,Exynos 1380,8,512,6.05,LCD,90,5367,33,108,32,"Wide, Ultra-Wide",177.7,7.59
Vivo,Android,2021,2814,4332,85.13,Plastic,4,1,5.1,WiFi 6,Snapdragon 778G,6,128,6.19,LCD,60,5140,18,50,16,"Telephoto, Ultra-Wide",179.2,7.24
Sony,Android,2022,3746,5655,79.27,Metal,3,1,5.2,WiFi 6E,Dimensity 900,6,128,6.71,AMOLED,60,4378,45,50,50,Other,193.5,7.76
Samsung,Android,2025,5797,6902,83.39,Metal,3,1,5.0,WiFi 6E,Snapdragon 8 Gen 2,12,64,6.71,AMOLED,120,5232,45,108,50,Wide,172.1,7.88
Xiaomi,Android,2022,1379,1168,75.69,Plastic,7,1,4.2,WiFi 6E,Helio G85,4,256,6.83,LCD,90,4863,18,50,50,Depth,186.9,8.05
Xiaomi,Android,2024,1,322,91.12,Glass,2,1,4.2,WiFi 5,Snapdragon 680,3,128,6.51,AMOLED,60,4764,25,50,50,"Macro, Depth",160.2,8.19
Motorola,Android,2020,2045,2992,77.68,Plastic,3,2,5.1,WiFi 5,Dimensity 6020,6,64,5.67,AMOLED,60,4859,45,48,32,"Telephoto, Wide",173.5,8.26
Xiaomi,Android,2024,1380,1475,80.54,Plastic,6,2,4.2,WiFi 5,Snapdragon 680,6,512,6.34,LCD,60,4400,33,48,8,Other,174.0,8.42
Motorola,Android,2022,1218,2289,92.05,Metal,4,2,5.0,WiFi 6E,Snapdragon 778G,8,256,5.84,AMOLED,60,4986,45,50,50,"Telephoto, Depth",183.1,7.19
Motorola,Android,2018,2561,1852,78.19,Glass,2,2,5.1,WiFi 6,Dimensity 6020,4,128,6.69,LCD,60,3786,18,50,50,Other,164.9,7.88
Sony,Android,2018,3674,4019,88.16,Metal,5,1,5.0,WiFi 5,Dimensity 900,6,128,5.6,LCD,144,3424,18,64,32,Wide,172.7,7.69
Apple,iOS,2019,6587,8049,86.67,Metal,6,1,5.3,WiFi 5,Snapdragon 8 Gen 2,12,256,6.69,OLED,120,3048,18,200,16,Other,194.5,7.13
Motorola,Android,2025,1741,2611,80.67,Metal,2,1,5.1,WiFi 5,Dimensity 900,8,128,5.82,OLED,120,5714,25,108,32,"Wide, Depth",142.0,8.12
Realme,Android,2024,2500,1609,77.83,Metal,3,1,5.3,WiFi 6,Snapdragon 778G,8,128,5.99,AMOLED,60,6023,18,64,8,Other,220.3,7.16
Apple,iOS,2024,7301,8712,83.42,Glass,7,1,5.3,WiFi 6E,Snapdragon 8 Gen 2,16,64,6.61,OLED,144,3047,33,200,16,"Wide, Macro",144.0,8.02
Vivo,Android,2020,2747,3787,88.28,Glass,4,2,5.0,WiFi 6E,Dimensity 900,12,256,6.52,OLED,120,4401,65,50,16,Other,156.2,8.4
Vivo,Android,2020,2542,3008,86.0,Glass,7,2,5.3,WiFi 6E,Exynos 1380,12,64,6.01,OLED,144,6103,25,50,50,Other,175.3,9.04
Apple,iOS,2021,6627,9095,88.62,Metal,3,2,5.1,WiFi 6E,Tensor G3,16,128,6.14,AMOLED,120,3218,65,200,8,"Depth, Telephoto",209.9,7.58
Google,Android,2021,5806,7485,87.4,Metal,3,2,5.2,WiFi 6E,Tensor G3,8,128,6.09,AMOLED,90,5970,45,108,16,Telephoto,199.9,8.42
Sony,Android,2018,2125,2694,78.46,Plastic,7,1,5.1,WiFi 5,Exynos 1380,12,128,6.13,AMOLED,90,5718,100,108,50,Other,184.7,8.15
Sony,Android,2024,3365,5491,91.25,Metal,6,2,5.2,WiFi 6,Snapdragon 778G,6,64,5.7,AMOLED,90,4923,18,64,32,Other,182.6,8.76
Sony,Android,2020,3700,3790,83.86,Plastic,6,2,5.2,WiFi 5,Exynos 1380,8,64,5.98,LCD,60,5200,18,108,16,"Telephoto, Ultra-Wide",157.6,8.19
Sony,Android,2025,5352,5840,88.67,Plastic,5,1,5.3,WiFi 5,Dimensity 900,6,128,6.66,AMOLED,60,5599,18,50,8,Depth,185.6,8.35
Vivo,Android,2020,1995,2195,80.43,Glass,2,2,5.3,WiFi 5,Snapdragon 680,4,128,5.97,LCD,60,6155,33,48,32,Other,192.1,9.03
Vivo,Android,2021,1077,2152,79.27,Glass,2,2,5.3,WiFi 6,Dimensity 6020,6,512,6.05,LCD,60,6353,33,48,8,"Depth, Telephoto",220.9,8.26
OnePlus,Android,2022,6389,7717,92.44,Glass,5,1,5.3,WiFi 6,Snapdragon 8 Gen 2,12,128,5.79,AMOLED,144,6024,18,108,50,Other,174.8,7.0
Sony,Android,2021,1445,1666,90.24,Metal,7,2,4.2,WiFi 5,Snapdragon 680,6,64,6.58,AMOLED,144,5179,65,13,50,Other,163.6,7.59
Vivo,Android,2018,2720,4427,87.65,Glass,7,2,5.2,WiFi 6E,Snapdragon 778G,12,256,6.45,AMOLED,90,4430,18,50,8,"Depth, Ultra-Wide",202.0,7.12
Motorola,Android,2021,2704,4412,92.66,Metal,7,2,5.2,WiFi 6,Exynos 1380,8,64,6.8,LCD,60,4556,18,50,32,Depth,210.9,7.47
Motorola,Android,2020,1271,160,85.61,Metal,3,1,4.2,WiFi 6E,Snapdragon 680,3,256,5.69,LCD,60,4686,33,13,50,"Macro, Telephoto",161.8,7.82
Google,Android,2018,5182,6576,80.49,Glass,5,2,5.2,WiFi 6,Tensor G3,8,64,5.59,OLED,90,4018,45,108,50,Other,178.0,9.36
OnePlus,Android,2025,4995,5095,81.56,Plastic,4,1,5.1,WiFi 5,Dimensity 900,8,128,5.66,AMOLED,60,4370,25,108,32,Other,233.3,9.32
Google,Android,2019,4281,5127,88.96,Metal,5,1,5.1,WiFi 5,Exynos 1380,6,256,6.14,LCD,90,4639,18,50,50,"Telephoto, Ultra-Wide",234.6,7.46
Motorola,Android,2018,660,443,82.45,Glass,6,1,5.3,WiFi 6,Helio G85,3,128,6.88,LCD,60,5711,33,48,50,Telephoto,147.7,8.47
OnePlus,Android,2021,2688,3358,94.77,Metal,5,1,5.3,WiFi 5,Snapdragon 778G,6,128,6.76,AMOLED,60,4707,65,108,8,Other,189.8,8.07
Xiaomi,Android,2024,1744,2254,77.17,Glass,4,1,5.0,WiFi 6,Helio G85,6,64,6.8,AMOLED,120,5091,45,13,50,Other,182.6,7.59
Sony,Android,2021,1400,1540,81.92,Glass,2,2,5.2,WiFi 6,Snapdragon 680,4,64,5.82,LCD,60,6649,65,50,32,"Depth, Ultra-Wide",188.5,8.34
Xiaomi,Android,2018,2473,2939,89.8,Plastic,3,1,5.0,WiFi 6E,Snapdragon 778G,8,128,5.54,OLED,120,4707,18,50,50,"Wide, Depth",180.5,9.29
Google,Android,2020,5112,5642,89.06,Plastic,4,2,4.2,WiFi 6E,Dimensity 900,12,128,6.63,LCD,90,4659,65,50,50,Other,149.3,8.8
Realme,Android,2021,1000,1434,91.06,Metal,5,2,5.1,WiFi 5,Helio G85,3,256,6.6,AMOLED,60,4966,33,13,50,"Depth, Ultra-Wide",161.0,8.98
Apple,iOS,2023,10951,12340,82.76,Metal,7,2,5.3,WiFi 6,A17 Bionic,12,128,6.27,OLED,120,3322,45,50,16,"Ultra-Wide, Wide",162.3,8.21
Google,Android,2025,5432,6295,86.47,Plastic,7,1,5.2,WiFi 6E,Exynos 1380,8,128,6.19,LCD,60,4262,25,108,16,"Macro, Ultra-Wide",216.9,7.68
Motorola,Android,2024,3306,4441,76.18,Plastic,2,1,4.2,WiFi 6,Dimensity 900,6,64,5.86,AMOLED,90,4636,100,50,32,Other,161.4,7.06
Google,Android,2019,6793,8536,93.13,Metal,3,2,5.3,WiFi 6E,Snapdragon 8 Gen 2,12,64,5.52,OLED,90,4204,25,50,32,"Macro, Ultra-Wide",201.7,7.9
Oppo,Android,2023,1914,3355,79.17,Metal,7,2,5.3,WiFi 5,Snapdragon 778G,12,128,6.46,AMOLED,60,4782,18,64,16,Wide,186.7,8.53
Samsung,Android,2021,1790,3631,76.29,Plastic,4,2,5.2,WiFi 5,Snapdragon 778G,8,64,6.54,LCD,60,3896,65,108,50,Other,228.1,8.5
Oppo,Android,2018,2823,3353,93.48,Plastic,6,1,4.2,WiFi 6E,Exynos 1380,8,256,5.74,AMOLED,90,5917,33,64,32,Other,204.6,8.56
Samsung,Android,2019,3210,4444,79.79,Glass,4,1,5.2,WiFi 6,Exynos 1380,6,64,6.26,LCD,120,5777,45,108,8,"Depth, Ultra-Wide",181.0,8.47
Sony,Android,2020,2206,2546,88.96,Glass,4,2,5.1,WiFi 6,Dimensity 900,8,256,5.85,AMOLED,60,6050,100,64,8,"Ultra-Wide, Telephoto",174.3,8.03
Realme,Android,2018,1189,1838,85.13,Plastic,5,1,5.0,WiFi 5,Dimensity 6020,4,128,6.06,OLED,120,4351,45,13,50,Depth,164.7,7.15
Vivo,Android,2024,1479,2989,76.28,Metal,3,2,5.2,WiFi 5,Exynos 1380,8,128,5.8,AMOLED,90,5014,100,50,16,Other,167.6,7.29
Realme,Android,2024,2577,2418,78.67,Plastic,5,1,4.2,WiFi 5,Exynos 1380,12,128,6.88,LCD,60,5608,25,64,32,Other,225.5,7.24
Xiaomi,Android,2024,958,985,77.33,Plastic,4,2,5.0,WiFi 6E,Helio G85,3,64,6.0,LCD,90,4911,45,50,16,Other,176.3,8.97
Google,Android,2022,6336,7743,82.02,Metal,5,1,5.3,WiFi 5,A17 Bionic,12,128,6.51,OLED,90,5527,45,108,16,"Telephoto, Ultra-Wide",172.2,7.75
Motorola,Android,2025,1176,1884,91.93,Plastic,2,1,5.1,WiFi 6,Snapdragon 680,4,256,5.54,AMOLED,60,5251,65,13,8,Other,195.3,9.17
Samsung,Android,2024,7891,11229,91.54,Glass,3,2,5.0,WiFi 5,Tensor G3,8,128,6.78,AMOLED,90,6271,33,50,50,Other,217.7,7.28
Sony,Android,2019,5395,5952,86.23,Metal,6,1,4.2,WiFi 5,A17 Bionic,12,64,6.12,AMOLED,60,4689,33,200,32,Other,163.1,8.06
Google,Android,2019,8204,8309,93.56,Glass,6,1,4.2,WiFi 6,Tensor G3,12,128,6.26,AMOLED,144,6405,25,200,50,Other,201.8,8.06
Vivo,Android,2019,4227,4582,81.41,Plastic,2,2,5.3,WiFi 6E,Dimensity 900,12,128,6.23,LCD,60,4886,45,64,8,Other,172.8,7.84
Vivo,Android,2018,1412,2276,94.95,Metal,6,1,5.3,WiFi 5,Exynos 1380,12,128,6.09,AMOLED,120,5952,33,50,16,"Depth, Ultra-Wide",168.0,7.56
Oppo,Android,2019,1829,2655,75.5,Plastic,5,2,5.3,WiFi 5,Dimensity 900,8,128,5.74,AMOLED,144,5040,45,50,16,Other,229.1,7.8
Realme,Android,2020,2574,3722,75.19,Plastic,4,1,4.2,WiFi 6,Snapdragon 778G,12,128,6.18,LCD,60,5929,100,64,32,"Wide, Ultra-Wide",134.7,9.33
Motorola,Android,2025,2118,3056,81.79,Metal,7,1,5.3,WiFi 6,Dimensity 900,8,128,5.59,LCD,90,5360,45,108,8,Other,189.0,8.52
Oppo,Android,2021,2888,4677,75.28,Glass,2,1,5.3,WiFi 5,Dimensity 900,12,256,5.83,LCD,90,5367,33,108,32,"Ultra-Wide, Telephoto",207.1,9.16
Apple,iOS,2024,8211,10302,86.4,Metal,7,1,5.3,WiFi 6,Snapdragon 8 Gen 2,8,512,6.25,OLED,120,3351,65,50,8,Wide,183.8,8.98
Xiaomi,Android,2023,2916,2718,80.5,Metal,3,2,5.0,WiFi 6,Snapdragon 778G,8,128,6.16,LCD,120,5677,65,108,8,"Depth, Ultra-Wide",190.8,7.31
Oppo,Android,2021,2052,2201,93.72,Metal,4,2,5.3,WiFi 5,Dimensity 6020,4,64,6.22,AMOLED,144,4921,100,48,32,"Macro, Telephoto",163.9,7.92
Oppo,Android,2022,4474,5508,91.33,Metal,4,2,5.2,WiFi 6,Dimensity 900,8,128,6.46,LCD,60,4668,18,64,50,"Ultra-Wide, Depth",218.8,8.43
OnePlus,Android,2022,1749,2839,87.98,Glass,2,1,5.0,WiFi 6,Exynos 1380,8,128,5.66,AMOLED,90,4864,100,108,8,"Ultra-Wide, Depth",150.3,8.74
Apple,iOS,2020,7908,8390,83.98,Plastic,7,2,5.0,WiFi 6,Tensor G3,12,64,6.07,AMOLED,120,3496,18,200,8,Other,194.0,7.02
Vivo,Android,2021,2528,5033,80.81,Glass,5,2,4.2,WiFi 5,Dimensity 900,8,128,5.55,OLED,144,5240,45,64,32,"Depth, Wide",190.1,8.13
Realme,Android,2018,2595,2709,90.85,Plastic,7,1,4.2,WiFi 6E,Helio G85,3,256,6.29,OLED,60,5676,33,50,16,Depth,189.2,9.33
Realme,Android,2018,3021,2936,86.84,Metal,3,2,5.2,WiFi 5,Snapdragon 778G,6,512,5.66,OLED,60,4332,33,108,16,Ultra-Wide,205.5,8.61
Vivo,Android,2019,943,1650,91.58,Metal,5,2,4.2,WiFi 6E,Helio G85,6,64,6.85,AMOLED,60,5686,45,13,8,Other,175.2,8.02
Realme,Android,2022,953,1968,76.4,Plastic,2,2,5.1,WiFi 6E,Snapdragon 680,6,64,6.23,LCD,90,5156,18,13,32,Other,201.8,7.23
Xiaomi,Android,2019,2084,2278,90.0,Glass,4,2,5.3,WiFi 5,Helio G85,4,64,6.08,OLED,90,4758,25,50,16,Ultra-Wide,167.9,7.29
Vivo,Android,2020,2379,1394,85.18,Metal,5,2,5.1,WiFi 6E,Snapdragon 680,3,64,5.78,LCD,60,3621,18,48,50,Other,191.7,7.92
Realme,Android,2022,2518,2925,75.46,Metal,2,1,5.1,WiFi 6,Dimensity 6020,3,128,6.51,OLED,90,3865,45,13,16,"Wide, Ultra-Wide",154.8,8.99
Apple,iOS,2018,9269,10992,76.65,Plastic,5,2,5.0,WiFi 6,A17 Bionic,8,64,5.6,AMOLED,120,3024,45,50,50,Other,205.2,8.87
Realme,Android,2020,1385,3150,85.13,Metal,7,1,5.1,WiFi 6E,Snapdragon 680,6,64,6.82,OLED,90,5539,25,48,32,"Depth, Telephoto",186.7,7.71
Motorola,Android,2018,0,912,92.6,Metal,6,2,4.2,WiFi 6E,Snapdragon 680,6,256,6.71,OLED,60,4686,25,13,8,"Depth, Macro",167.2,8.91
Xiaomi,Android,2020,2768,3178,80.82,Glass,7,2,5.1,WiFi 6E,Exynos 1380,12,64,6.74,AMOLED,90,4303,33,64,50,Other,181.4,9.43
Xiaomi,Android,2022,1746,1438,79.8,Glass,4,1,5.0,WiFi 6,Dimensity 6020,4,256,5.82,LCD,120,6322,33,50,8,"Telephoto, Ultra-Wide",174.9,7.72
Samsung,Android,2020,4628,4714,81.05,Metal,2,2,4.2,WiFi 5,Snapdragon 778G,12,512,6.56,AMOLED,60,4576,18,50,32,"Telephoto, Wide",158.4,7.14
