brand,model_name,os,price,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm
Google,Google_2528,Android,959.07,2020,6850,8793,88.68,Metal,5,1,5.2,WiFi 5,Tensor G3,12,128,6.1,AMOLED,120,4657,25,200,16,Wide,175.2,8.29
Samsung,Samsung_9006,Android,771.31,2018,6100,7275,88.02,Metal,2,2,5.2,WiFi 6,A17 Bionic,16,64,5.77,LCD,120,3817,65,50,8,"Telephoto, Wide",175.6,7.41
Google,Google_2059,Android,1019.83,2022,6862,9390,83.33,Glass,4,2,5,WiFi 6E,Snapdragon 8 Gen 2,16,128,6.1,LCD,90,5069,25,200,32,"Wide, Ultra-Wide",184,8.89
Realme,Realme_5737,Android,360.98,2021,3770,3980,76.62,Metal,2,1,5.3,WiFi 6,Dimensity 900,12,64,6.28,AMOLED,60,4323,45,50,8,"Macro, Wide, Telephoto, Depth",173.6,7.67
OnePlus,OnePlus_5548,Android,422.53,2022,3459,4546,76.68,Glass,5,2,5.1,WiFi 6,Exynos 1380,12,256,6.45,AMOLED,60,6497,25,50,16,"Depth, Macro, Telephoto, Wide",197.9,9.41
Google,Google_8996,Android,580.88,2025,4494,5667,94.06,Plastic,2,2,5.3,WiFi 6E,Exynos 1380,12,128,5.85,AMOLED,144,5728,33,64,50,"Ultra-Wide, Wide, Macro",189.4,9.16
Vivo,Vivo_9716,Android,329.36,2021,1675,4069,88.44,Metal,2,2,5.3,WiFi 6,Snapdragon 778G,8,64,6.23,OLED,120,5866,25,64,16,"Depth, Macro, Telephoto",211.1,9.17
OnePlus,OnePlus_2081,Android,469.09,2019,4565,4485,83.71,Plastic,4,2,5,WiFi 6E,Exynos 1380,6,128,5.95,AMOLED,60,4365,18,64,32,"Ultra-Wide, Macro, Wide",187.7,8.02
Samsung,Samsung_6732,Android,1172.7,2021,8799,10714,81.73,Glass,6,2,5,WiFi 6,Tensor G3,12,128,6.2,OLED,120,4838,33,200,50,Ultra-Wide,191.2,9.03
Sony,Sony_9787,Android,549,2025,4255,5051,94.01,Metal,3,1,5.3,WiFi 5,Snapdragon 778G,6,512,6.08,LCD,120,5437,65,108,32,"Macro, Telephoto, Depth",186,7.26
OnePlus,OnePlus_2540,Android,695.71,2022,4315,7018,89.16,Metal,6,2,5.1,WiFi 6,Tensor G3,16,128,6.49,OLED,120,5072,65,108,8,"Depth, Telephoto, Macro",191.7,8.77
OnePlus,OnePlus_4376,Android,526.76,2023,5022,4505,80.55,Glass,3,2,5,WiFi 5,Dimensity 900,8,512,5.52,OLED,60,5055,100,108,50,Wide,209.7,7.42
Vivo,Vivo_6989,Android,149.1,2020,687,921,79.14,Plastic,2,2,5,WiFi 6E,Helio G85,6,128,6.03,OLED,120,4908,33,13,16,"Wide, Ultra-Wide, Depth",214.8,8.34
Samsung,Samsung_6115,Android,469.8,2023,2741,4981,79.18,Metal,4,1,4.2,WiFi 6E,Exynos 1380,12,256,6.37,AMOLED,60,5846,25,108,16,"Depth, Macro",154.8,8.28
Apple,Apple_3878,iOS,1280.77,2025,9412,10786,87.37,Metal,7,2,5,WiFi 5,Snapdragon 8 Gen 2,8,128,6.25,AMOLED,144,3387,25,200,8,"Telephoto, Wide, Macro",173.6,8.28
Samsung,Samsung_7891,Android,460.13,2020,2731,4570,77.04,Glass,7,1,5.2,WiFi 6,Dimensity 900,12,128,5.67,OLED,90,5844,33,108,16,"Wide, Telephoto",203.1,8.47
Realme,Realme_2828,Android,266.79,2023,1289,2601,88.69,Plastic,6,1,4.2,WiFi 5,Snapdragon 680,4,512,6.28,AMOLED,60,4469,25,50,50,Ultra-Wide,201.4,8.53
Realme,Realme_7943,Android,257.34,2020,2365,2446,87.48,Metal,7,2,5.1,WiFi 6E,Dimensity 6020,3,256,6.66,LCD,60,5593,25,48,50,"Telephoto, Wide",194.9,8.78
Vivo,Vivo_1094,Android,248.49,2020,1649,1589,80.76,Metal,5,2,5.3,WiFi 6,Dimensity 6020,3,128,6.65,LCD,120,4784,65,13,50,"Telephoto, Ultra-Wide, Macro",170.4,8.8
OnePlus,OnePlus_1536,Android,851.22,2019,6251,8090,86.55,Glass,6,2,4.2,WiFi 5,Snapdragon 8 Gen 2,12,256,5.97,AMOLED,90,3733,45,50,16,"Depth, Ultra-Wide",218.3,8
Google,Google_7645,Android,476.91,2021,2852,4056,87.88,Plastic,5,2,5,WiFi 6E,Exynos 1380,12,128,6.06,AMOLED,120,4641,45,64,16,"Telephoto, Depth",147.5,8.79
Samsung,Samsung_2308,Android,678.61,2021,5438,5618,83.19,Glass,2,2,5.3,WiFi 6E,Tensor G3,16,512,6.82,AMOLED,120,4517,45,50,32,Wide,184.9,9.19
Apple,Apple_1645,iOS,1402.53,2020,10649,11887,75.94,Glass,4,1,5.1,WiFi 5,A17 Bionic,16,256,6.24,OLED,120,3455,33,108,16,Depth,176.4,9.25
Oppo,Oppo_3343,Android,216.76,2018,1072,2484,86.8,Metal,6,2,5.1,WiFi 6E,Snapdragon 680,4,128,5.88,AMOLED,60,5188,100,50,16,"Wide, Depth",194.7,7.86
Google,Google_2521,Android,806.97,2020,5379,8228,86.21,Plastic,3,1,5.3,WiFi 6E,A17 Bionic,8,512,5.56,OLED,144,5217,100,50,32,"Macro, Ultra-Wide",164.5,9.31
Oppo,Oppo_1271,Android,361.64,2025,2546,2968,80.74,Glass,7,1,4.2,WiFi 5,Snapdragon 778G,8,128,6.89,LCD,60,5512,18,50,8,"Ultra-Wide, Depth",186.6,8.2
Motorola,Motorola_2913,Android,284.63,2018,2811,2994,75.7,Glass,6,2,5.1,WiFi 5,Dimensity 900,12,128,6.22,LCD,60,4501,65,50,16,"Wide, Depth, Macro, Telephoto",178.9,9.21
Vivo,Vivo_5311,Android,199.09,2020,1988,2621,90.05,Metal,6,1,5.3,WiFi 6,Dimensity 6020,4,64,6.46,LCD,120,2215,33,48,50,"Ultra-Wide, Wide",172.6,7.67
Oppo,Oppo_9073,Android,450.92,2023,3914,5065,82.67,Plastic,4,1,5.1,WiFi 6E,Snapdragon 778G,12,64,5.53,AMOLED,120,4051,65,64,50,"Wide, Telephoto, Ultra-Wide",182,7.17
Xiaomi,Xiaomi_1791,Android,112.86,2021,1126,1275,90.22,Metal,6,2,5.2,WiFi 5,Snapdragon 680,4,256,6.85,LCD,120,3522,25,48,8,"Wide, Depth",178.7,9.17
Apple,Apple_7731,iOS,1174.51,2018,9269,10992,76.65,Plastic,5,2,5,WiFi 6,A17 Bionic,8,64,5.6,AMOLED,120,3024,45,50,50,"Wide, Macro, Depth",205.2,8.87
Xiaomi,Xiaomi_2560,Android,206.94,2022,3025,1880,89.38,Glass,6,2,4.2,WiFi 6E,Helio G85,4,128,6.18,AMOLED,90,6081,33,50,16,Wide,199.3,7.15
Vivo,Vivo_4714,Android,421.05,2022,3301,3778,84.85,Glass,7,2,5.3,WiFi 6E,Exynos 1380,8,128,6.32,LCD,60,6207,65,64,32,"Depth, Macro",222.8,7.9
